卢梭说，要奠定一个国家的必要条件是人民必须享有富足和（   ）。,,选项 B ,,,,,,,
建立政府的时机的选择，是人们据以区别它是由（   ）建立的还是由暴君建立的最可靠的标志之一。,,选项 A ,,,,,,,
下面哪句话是对的：①一个国家的人口和土地面积的比率可以用来衡量一个国家的力量。②如果土地太多，则对土地的保卫就是一项沉重的负担，耕种土地的人力不足，物产过剩，这是出现进攻战争的近因。③如果土地不足，则国家就会觊觎邻国的土地来补充自己的土地，这是引起防卫战争的近因。（   ）,,选项 A ,,,,,,,
在欧洲有一个可以为之立法的国家，这个国家是,,选项 D ,,,,,,,
第二卷第十一章的标题是（   ）。,,选项 D ,,,,,,,
一切立法体系的最终极目标，是（   ）。,,选项 C ,,,,,,,
权力不能成为任何暴力，而必须按等级和（   ）行使。,,选项 B ,,,,,,,
在（   ）方面，任何一个公民都不能富足到用金钱去购买他人，也不能穷到不得不出卖自身。,,选项 A ,,,,,,,
大人物必须节制（   ）和权势，小人物必须克服贪欲与妄求。,,选项 B ,,,,,,,
正是因为事物的力量总是倾向于摧毁平等，所以才需要（   ）的力量倾向于维持平等。,,选项 B ,,,,,,,
（   ）既要遵循一切人的基本准则，也应该考虑各个不同的条件限制。,,选项 A ,,,,,,,
使一个国家的体制能够长久的重要原则就是让自然条件和（   ）相协调、保障。,,选项 A ,,,,,,,
在《论法的精神》中，宗教是（   ）的目的。,,选项 C ,,,,,,,
（   ）的作者以许许多多事例来论证了立法者是以何种巧妙的方法把制度引向每个这样的目的。,,选项 A ,,,,,,,
在卢梭眼中，没有（   ），自由就不可能存在。,,选项 A ,,,,,,,
第二卷第十二章的标题是（   ）。,,选项 D ,,,,,,,
确定全体对全体的比率或主权对国家的比率的法律，称为（   ）。,,选项 B ,,,,,,,
确定成员们之间或者说成员与整个共同体之间比率的法律，称为（   ）。,,选项 C ,,,,,,,
人同法律之间还有第（   ）种关系，即不服从与惩罚的关系。,,选项 B ,,,,,,,
不管怎么说，人民始终是有权改变他们的（   ）的。,,选项 A ,,,,,,,
成员们之间或者说成员与整个共同体之间比率，对前者而言应当尽可能小，对后者而言应当尽可能大，一遍每一个公民完全不依附任何人，而只依附于（   ）.,,选项 A ,,,,,,,
人同法律之间还有第三种关系，即不服从与惩罚的关系。为了实行惩罚，就需要制定（   ）。,,选项 D ,,,,,,,
除了三种法律，还有第四种法律，卢梭说这种法律是风俗和习惯，尤其是（   ）。,,选项 A ,,,,,,,
在几种法律中，只有（   ）才与卢梭阐述的主题有关。,,选项 A ,,,,,,,
卢梭认为只有第（   ）种法律是国家真正的宪法。,,选项 D ,,,,,,,
一切自由的行为都是由（   ）个原因相结合产生的,,选项 B ,,,,,,,
立法的权力属于（   ）,,选项 A ,,,,,,,
政府的任务是执行法律和维护（   ）,,选项 D ,,,,,,,
行政权力的合法行使称为最高行政或（   ）,,选项 A ,,,,,,,
政府一词的含义并不是在所有国家都是（   ）的,,选项 A ,,,,,,,
政府一词的含义不同是因为各国的（   ）并不完全一样,,选项 A ,,,,,,,
在君主国，行政权和主权的行使是结合在一起的（   ）就是君主本人,,选项 C ,,,,,,,
主权者对国家的比率是（   ）,,选项 D ,,,,,,,
国家越大，自由越（   ）,,选项 C ,,,,,,,
风尚对法律的比率越小，控制力便应当（   ）,,选项 B ,,,,,,,
政府若想变成好政府便应当随人民人数的增多而相应（   ）其力量,,选项 A ,,,,,,,
当政府拥有更多的约束人民的力量的时候，主权者应当拥有更多（   ）的力量,,选项 D ,,,,,,,
主权者，君主和（   ）之间的连比例不是一种臆造的概念,,选项 A ,,,,,,,
有多少个不同的国家，就有（   ）种不同性质的政府,,选项 B ,,,,,,,
卢梭认为政府是一个具有一定能力的（   ）。,,选项 B ,,,,,,,
（   ）与人民和主权者是截然不同的,,选项 C ,,,,,,,
政府是人民和主权的（   ）,,选项 C ,,,,,,,
国家是以（   ）而存在,,选项 D ,,,,,,,
政府是由（   ）而存在,,选项 B ,,,,,,,
君主使他手中掌握的公共力量服从他的个别意志这时会出现（   ）主权者,,选项 B ,,,,,,,
君主使他手中掌握的公共力量服从他的个别意志这时会出现2个主权者，政治共同体（   ）瓦解,,选项 A ,,,,,,,
政府的全部力量始终是国家的力量是（   ）,,选项 B ,,,,,,,
政治体区分为力量和意志，意志是指（   ）,,选项 A ,,,,,,,
政治体区分为力量和意志，力量是指（   ）,,选项 B ,,,,,,,
行政权力不像立法权力具有（   ）,,选项 C ,,,,,,,
主权者的一切行为都只能是（   ）,,选项 D ,,,,,,,
君主的力量是集中在他身上的（   ）力量,,选项 A ,,,,,,,
政府共同体没有下面哪种权力（   ）,,选项 D ,,,,,,,
行政官共同体可以由（   ）成员组成,,选项 D ,,,,,,,
人民的人数越多，主权者对臣民的比例越（   ）,,选项 A ,,,,,,,
行政长官的人数越多，政府越（   ）,,选项 B ,,,,,,,
在行政官个人身上有（   ）不同的意志,,选项 C ,,,,,,,
在行政官个人身上有3不同的意志不包括下面哪种（   ）,,选项 C ,,,,,,,
人民的意志是（   ）,,选项 A ,,,,,,,
在一个完善的立法体系里，个人的意志（   ）作用,,选项 B ,,,,,,,
政府本身的意志完全是（   ）,,选项 B ,,,,,,,
主权者的意志（   ）地位,,选项 A ,,,,,,,
其他意志应当遵循（   ）意志,,选项 D ,,,,,,,
按照自然的秩序和完善的立法体系里情况（   ）,,选项 C ,,,,,,,
按照自然的秩序（   ）是最弱的,,选项 D ,,,,,,,
按照自然的秩序（   ）是最强的,,选项 A ,,,,,,,
按照自然的秩序（   ）是中间的,,选项 B ,,,,,,,
把团体意志和（   ）结合起来，团体意志达到了它可能达到的最大强度,,选项 A ,,,,,,,
力量的运用主要取决于（   ）,,选项 D ,,,,,,,
最活跃的政府是（   ）执掌的政府,,选项 B ,,,,,,,
如果使主权者成为君主这时团体意志会让（   ）保留全部力量,,选项 B ,,,,,,,
（   ）在行政官的集体里总是比每个公民在公民的集体里更活跃,,选项 C ,,,,,,,
个别意志对政府行为的影响力总是比（   ）的影响力大,,选项 A ,,,,,,,
国家越大它的（   ）越增加,,选项 B ,,,,,,,
随着（   ）增多，公务的处理反而越慢,,选项 A ,,,,,,,
翻来复去的考虑往往会失去（   ）,,选项 C ,,,,,,,
随着行政官人数的增多（   ）反而越松弛,,选项 D ,,,,,,,
人民的数量越多（   ）便应加大,,选项 C ,,,,,,,
行政官对政府的比率应当与（   ）的比率成反比,,选项 A ,,,,,,,
首领的数目应当随着人民人数的增加而按比例（   ）,,选项 B ,,,,,,,
行政官的人数越多则团体的意志便越接近（   ）,,选项 A ,,,,,,,
立法者的高明处在于如何使互成（   ）的力量与政府的意志结合成最利于国家的比率,,选项 D ,,,,,,,
主权者把政府职权交给全体或大部分人民使担任行政官的人比个别单纯人数多这种形式的政府称为（   ）,,选项 A ,,,,,,,
主权者把政府交小部分人管理使单纯公民人数比行政官多这种形式的政府称为（   ）,,选项 B ,,,,,,,
主权者把政府交给唯一一个行政官而其他行政官都从他手中获得权益这种形式的政府称（   ）,,选项 C ,,,,,,,
民主制或贵族制是可以有相当大的（   ）,,选项 B ,,,,,,,
贵族制的行政官可以从半数人民缩小到极少数人民就连（   ）也可以按某种形式划分,,选项 D ,,,,,,,
每一种政府形式和另一种政府形式总会在某一点上相（   ）,,选项 A ,,,,,,,
由于同一个政府在某一个方面可以再细化为若干部分因此从这几种形式的结合可以产生许多（   ）,,选项 B ,,,,,,,
不同国家里最高行政官人数应当与公民的人数成（   ）,,选项 D ,,,,,,,
（   ）适合于小国,,选项 C ,,,,,,,
民主制适合于（   ）,,选项 B ,,,,,,,
（   ）适合于中等国家,,选项 A ,,,,,,,
贵族制适用于（   ）,,选项 C ,,,,,,,
（   ）适合于大国,,选项 A ,,,,,,,
君主制适合于（   ）,,选项 D ,,,,,,,
（   ）人比谁都清楚应当怎样执行和解释法律,,选项 B ,,,,,,,
只有把行政权和（   ）能够结合在一起的体质才可能是最好的体质,,选项 D ,,,,,,,
君主和主权者是同一个人因而可以说必然形成一个（   ）的政府,,选项 A ,,,,,,,
由（   ）的人去执行法律这是不好的,,选项 D ,,,,,,,
人民共同体把他们的注意力从带普遍性的事物转向（   ）,,选项 C ,,,,,,,
没有什么事情比个人的利益在（   ）发生影响更危险,,选项 A ,,,,,,,
政府的（   ）与立法者的判断错误带来的危害相比小得多,,选项 D ,,,,,,,
（   ）是个人的看法难以避免的后果,,选项 B ,,,,,,,
国家在（   ）上起了变化，因而一切改革都无法实施,,选项 A ,,,,,,,
从来不钻政府行政缺陷的空子的人民是不会滥用他们的（   ）的,,选项 C ,,,,,,,
多数人统治少数人被统治这是违反（   ）的,,选项 D ,,,,,,,
让人民经常不断地集合起来处理（   ）这是不可想象的,,选项 A ,,,,,,,
如果政府的职权是分长在许多人手里的话（   ）迟早会独揽大权的,,选项 D ,,,,,,,
没有（   ）的平等权力和权利的平等不能持久,,选项 A ,,,,,,,
（   ）是财富过多的结果,,选项 C ,,,,,,,
（   ）使国家变的软弱和虚荣,,选项 B ,,,,,,,
财富使一些人最后全都成为（   ）的奴隶,,选项 D ,,,,,,,
（   ）是共和国的原则,,选项 B ,,,,,,,
国家体制的美好或多或少要随（   ）而定,,选项 C ,,,,,,,
没有任何一种政府像（   ）政府这样容易发生内战和内乱,,选项 A ,,,,,,,
没有任何一种政府像（   ）一样强烈倾向于不断改变形式,,选项 D ,,,,,,,
民主制政府需要更多的（   ）和勇气来保持自己的形式,,选项 B ,,,,,,,
卢梭把（   ）作为民主制度要求的条件之一,,选项 C ,,,,,,,
在人民的国家里还需要另一种动力那就是（   ）。,,选项 A ,,,,,,,
两种完全不同的精神人格即政府与（   ）,,选项 D ,,,,,,,
政府除非以（   ）本身的名义否则绝不能对人民发号施令,,选项 B ,,,,,,,
最初的社会是按（   ）的方式来治理的,,选项 A ,,,,,,,
最初的社会由各个家族的（   ）来讨论公共事务,,选项 B ,,,,,,,
随着制度所造成的不平等打破了自然的不平等财富和（   ）比年龄更受到尊重,,选项 D ,,,,,,,
由于权势随着财产可以由父亲传儿子因而形成了（   ）,,选项 A ,,,,,,,
有三种贵族制，自然形成的和（   ）产生的和世袭的,,选项 B ,,,,,,,
（   ）贵族制适合于最淳朴的民族,,选项 C ,,,,,,,
（   ）的贵族制是所有一切政府之中最坏的,,选项 A ,,,,,,,
（   ）的贵族制是按严格意义说的贵族制,,选项 B ,,,,,,,
从一般的比率可以看出，君主制只适合于（   ）,,选项 B ,,,,,,,
在民主制下人民的负担（   ）,,选项 A ,,,,,,,
只有在人们的（   ）超过他们自身需要的时候政治状态才能存在,,选项 D ,,,,,,,
（   ）并不是任何一种地带的气候都能结出的果实,,选项 C ,,,,,,,
强力的极限与软弱的极限在（   ）中有一种适中的力量,,选项 B ,,,,,,,
当政府在松弛的时候就设立专门的（   ）使之集中化,,选项 A ,,,,,,,
人们可以设置一些（   ）以防止权力不平衡,,选项 C ,,,,,,,
当行政权力对（   ）的依附不是很大的时候需要对政府进行划分,,选项 A ,,,,,,,
组成政府的各个部分是（   ）,,选项 C ,,,,,,,
在行政权力的划分上，总是有从数目较多到数目较少的（   ）,,选项 B ,,,,,,,
人民政府必须有一个（   ）,,选项 A ,,,,,,,
一个独一无二的首领也必须有（   ）,,选项 D ,,,,,,,
严格说来，从来就没有过（   ）的政府,,选项 A ,,,,,,,
为了看清政府的本身只需要看他们在昏庸无道的（   ）下的所作所为,,选项 D ,,,,,,,
即使国王本来不昏庸无道（   ）也会使他们变得昏庸无道,,选项 C ,,,,,,,
（   ）说，天资过人的国王是一个极其稀罕的人物,,选项 B ,,,,,,,
（   ）是无可辩驳的最强有力的政府,,选项 A ,,,,,,,
所有的大臣以及国王都奉行这样一个法则，在任何事情上都要采取与（   ）的政策,,选项 D ,,,,,,,
王国政府的（   ）每发生一次大变动就会在国内引起一场大动荡,,选项 A ,,,,,,,
在（   ）人们的观点比较稳定，大家都遵循这种观点,,选项 B ,,,,,,,
王国政府的政策没有一个（   ）,,选项 C ,,,,,,,
缺乏连贯性的后果是王国政府的政策（   ）,,选项 A ,,,,,,,
辨别好与坏的最可靠的办法是（   ）,,选项 B ,,,,,,,
个人专制的政府的最大不利之处是缺少其他两种形式的政府所具有的那种连续不断的（   ）,,选项 D ,,,,,,,
一个元老院的本领是比较（   ）,,选项 B ,,,,,,,
一个王国每换一个新王，都应当按当朝国王（   ）的大小而扩大或收缩,,选项 C ,,,,,,,
一个君主制国家要想治理的好他的幅员就要随统治这个国家的人的（   ）而定,,选项 A ,,,,,,,
在（   ）的选择方面人民是比君主少犯错误的,,选项 B ,,,,,,,
在君主制政府下是由一个人来代表一个（   ）人格,,选项 D ,,,,,,,
有权按照法律来行驶国家权力的人人们称之为君主或（   ）,,选项 A ,,,,,,,
君主是国家权力的（   ）,,选项 C ,,,,,,,
（   ）是一个由法律的力量结合而成的精神的和个体的人格,,选项 B ,,,,,,,
在人的选择方面应当侧重于他的（   ）而不要侧重他的财富,,选项 A ,,,,,,,
